id,createdAt,updatedAt,Land_ID,State,District,Mandal,Village,Soil_Type,Approach_Road_Length,Longitude,Approach_Road_Type,Status,Latitude,Land_Zone_Data,Electricity,Price_per_Acre,Water_Source_Data,Fencing
1,Sat Nov 08 2025 20:18:39 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:18:39 GMT+0530 (India Standard Time),5096,Telangana,Rangareddy,Kondurg,Tekulapalle,Black,25,78.09244,kacha,active,17.1463817,0,0,0.85,0,0
2,Sat Nov 08 2025 20:18:46 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:18:46 GMT+0530 (India Standard Time),8625,Telangana,Nagarkurnool,Veldanda,Veldanda,black,,78.53518495,,active,16.75748643,0,0,1.7,0,0
3,Sat Nov 08 2025 20:18:54 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:18:54 GMT+0530 (India Standard Time),4953,Telangana,Nalgonda,Chintha Palle,Kurmaidu,Black,0,78.75629,,active,16.871714,0,0,0.8,0,0
4,Sat Nov 08 2025 20:19:01 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:01 GMT+0530 (India Standard Time),4163,Telangana,Rangareddy,Talakondapally,Veljala,Red,20,78.3699391,kacha,active,16.8358808,0,0,0.7,0,1
5,Sat Nov 08 2025 20:19:08 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:08 GMT+0530 (India Standard Time),9993,Telangana,Nalgonda,Devarakonda,Turupu Palli,,100,78.823479,highway_road,active,16.690903,0,0,0.75,0,0
6,Sat Nov 08 2025 20:19:16 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:16 GMT+0530 (India Standard Time),2763,Telangana,Nalgonda,Peda Adisharla Palli,Keshamneni Palli,Red,18,79.101596,formation,active,16.7883708,0,0,0.55,0,0
7,Sat Nov 08 2025 20:19:23 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:23 GMT+0530 (India Standard Time),8697,Telangana,Rangareddy,Amangal,Akuthotapalle,,30,78.585159,blacktop,active,16.885399,0,0,1.5,0,0
8,Sat Nov 08 2025 20:19:30 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:30 GMT+0530 (India Standard Time),3461,Telangana,Mahabubnagar,Balangar,Chinna Revalli,Red,25,78.2981935,kacha,active,16.9027484,0,1,1.25,0.529411765,1
9,Sat Nov 08 2025 20:19:38 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:38 GMT+0530 (India Standard Time),9322,Telangana,Mahabubnagar,Rajapur,Mallepalle,Black,20,78.1892778,formation,active,16.86200774,0,0,1.2,0,1
10,Sat Nov 08 2025 20:19:45 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:45 GMT+0530 (India Standard Time),9607,Telangana,Mahabubnagar,Nawabpet,Hanmasanipalle,black,40,78.05013156,blacktop,active,16.85765165,0,0,0.5,0,0
11,Sat Nov 08 2025 20:19:52 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:52 GMT+0530 (India Standard Time),6201,Telangana,Mahabubnagar,Rajapur,Raghvapur,red,40,78.1133867,blacktop,active,16.92238,0,0,0.82,0,0
12,Sat Nov 08 2025 20:19:59 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:19:59 GMT+0530 (India Standard Time),11059,Telangana,Mahabubnagar,Nawabpet,Lingampalle,black,,78.06572947,,active,16.92779024,0,0,0.45,0,0
13,Sat Nov 08 2025 20:20:07 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:07 GMT+0530 (India Standard Time),10030,Telangana,Mahabubnagar,Nawabpet,Lingampalle,red,,78.07193105,,active,16.93965738,0,0,0.6,0,0
14,Sat Nov 08 2025 20:20:14 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:14 GMT+0530 (India Standard Time),11161,Telangana,Mahabubnagar,Balangar,Mothighanapur,black,40,78.15038776,blacktop,active,16.9911816,0,0,1.78,0,0
15,Sat Nov 08 2025 20:20:21 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:21 GMT+0530 (India Standard Time),2545,Telangana,Rangareddy,Farooqnagar,Veljerla Iii,Red,40,78.293038,kacha,active,17.028738,0,1,1.4,0.352941176,1
16,Sat Nov 08 2025 20:20:29 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:29 GMT+0530 (India Standard Time),4640,Telangana,Rangareddy,Keshampeta,Bhairkhanpalle,Red,60,78.352414,blacktop,active,17.041864,0,0,1.5,0,0
17,Sat Nov 08 2025 20:20:36 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:36 GMT+0530 (India Standard Time),9027,Telangana,Rangareddy,Kandukur,Bachupalle,black,,78.44596508,,active,17.05606201,0,0,2,0,0
18,Sat Nov 08 2025 20:20:43 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:43 GMT+0530 (India Standard Time),9351,Telangana,Rangareddy,Manchal,Nomula,Black,20,78.68599203,formation,active,17.17416429,0,0,1.5,0,0
19,Sat Nov 08 2025 20:20:50 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:50 GMT+0530 (India Standard Time),3094,Telangana,Rangareddy,Manchal,Chittapur,Red,0,78.735606,,active,17.175609,0,0,1.35,0,0
20,Sat Nov 08 2025 20:20:58 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:20:58 GMT+0530 (India Standard Time),8907,Telangana,Rangareddy,Kandukur,Pulumamidi,black,20,78.40233614,formation,active,17.05825008,0,0,1.2,0,0
21,Sat Nov 08 2025 20:21:05 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:05 GMT+0530 (India Standard Time),2383,Telangana,Rangareddy,Kandukur,Meerkhanpet,Red,20,78.565358,formation,active,17.044568,0,0,1.8,0,0
22,Sat Nov 08 2025 20:21:12 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:12 GMT+0530 (India Standard Time),88,Telangana,Rangareddy,Yacharam,Yacharam,mixed,20,78.6688611,kacha,active,17.055,1,0,2,0,0
23,Sat Nov 08 2025 20:21:20 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:20 GMT+0530 (India Standard Time),1974,Telangana,Nalgonda,Gattuppal,Somrajguda,Red,20,78.873446,kacha,active,17.05535,0,0,0.3,0,0
24,Sat Nov 08 2025 20:21:27 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:27 GMT+0530 (India Standard Time),3281,Telangana,Nalgonda,Chandur,Thummalapalle,Red,40,79.0095,cc_road,active,16.9569167,0,0,0.55,0,0
25,Sat Nov 08 2025 20:21:34 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:34 GMT+0530 (India Standard Time),3345,Telangana,Nalgonda,Nampally,Brahmana Gouraram,Black,20,78.927,formation,active,16.9111111,0,0,0.32,0,1
26,Sat Nov 08 2025 20:21:41 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:41 GMT+0530 (India Standard Time),2960,Telangana,Nalgonda,Chintha Palle,Chintha Palli,Red,20,78.799362,kacha,active,16.809893,0,1,0.8,0.352941176,0
27,Sat Nov 08 2025 20:21:49 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:49 GMT+0530 (India Standard Time),6073,Telangana,Rangareddy,Madgul,Aurpalle,black,0,78.625141,,active,16.843129,0,0,0.65,0,0
28,Sat Nov 08 2025 20:21:56 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:21:56 GMT+0530 (India Standard Time),10995,Telangana,Nagarkurnool,Veldanda,Ajilapur,black,40,78.6670629,blacktop,active,16.81831544,0,0,0.95,0,0
29,Sat Nov 08 2025 20:22:03 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:03 GMT+0530 (India Standard Time),4478,Telangana,Rangareddy,Manchal,Arutla,black,20,78.826718,formation,active,17.106088,0,0,0.35,0,0
30,Sat Nov 08 2025 20:22:11 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:11 GMT+0530 (India Standard Time),9368,Telangana,Rangareddy,Ibrahimpatnam,Rainguda,Black,30,78.73554389,formation,active,17.22108713,0,0,1.1,0,0
31,Sat Nov 08 2025 20:22:18 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:18 GMT+0530 (India Standard Time),4341,Telangana,Yadadri Bhuvanagiri,Choutuppal,Peepal Pahad,Red,0,78.8616453,,active,17.2045423,0,0,0.55,0,0
32,Sat Nov 08 2025 20:22:25 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:25 GMT+0530 (India Standard Time),6377,Telangana,Rangareddy,Nandigama,Chegur,red,20,78.2427417,formation,active,17.1836417,0,0,1.3,0,0
33,Sat Nov 08 2025 20:22:33 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:33 GMT+0530 (India Standard Time),9630,Telangana,Rangareddy,Shabad,Chandenvalle,Black,,78.16666174,,active,17.22853102,0,0,2,0,1
34,Sat Nov 08 2025 20:22:40 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:40 GMT+0530 (India Standard Time),4108,Telangana,Vikarabad,Pargi,Khudavanpur,Red,40,77.9090881,blacktop,active,17.1283779,0,0,1.7,0,1
35,Sat Nov 08 2025 20:22:47 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:47 GMT+0530 (India Standard Time),5620,Telangana,Vikarabad,Dudyal,Dudyal,sandy,20,77.6777788,formation,active,17.0393604,0,0,0.55,0,0
36,Sat Nov 08 2025 20:22:54 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:22:54 GMT+0530 (India Standard Time),8409,Telangana,Vikarabad,Doulatabad,Nandaram,red,20,77.5968088,formation,active,17.03200314,0,0,0.36,0,0
37,Sat Nov 08 2025 20:23:02 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:23:02 GMT+0530 (India Standard Time),6657,Telangana,Vikarabad,Bomraspet,Dupcherla,black,0,77.71859,,active,17.201033,0,0,0.55,0,0
38,Sat Nov 08 2025 20:23:09 GMT+0530 (India Standard Time),Sat Nov 08 2025 20:23:09 GMT+0530 (India Standard Time),7167,Telangana,Vikarabad,Yelal,Rasnam,Black,,77.73137489,,active,17.23303613,0,0,0.29,0,0
